X,id,idLink,region,site,LandUse,SoilOrder,Year,pH,totalC,totalN,AMN,OlsenP_LR,OlsenP_Hills,bulkDensity,macroporosity-m05,macroporosity-m10,macroporositymin,macroporositymax,soillanduse,pHmin,pHmax,OlsenPmin,OlsenPmax,bulkDensitymin,bulkDensitymax,AMNmin,TotalNmin,TotalNmax,TotalCmin,OlsenP,macroporosity,meets_pH,meets_bulkDensity,meets_macroporosity,meets_OlsenP,meets_totalC,meets_totalN,meets_AMN,meets_organicR,meets_physicalS
1084,1553,1435,Wellington,Wellington/1435,Crop_Hort,Recent,2014,6.1,1.491,0.166,22.918,194.19,165,1.347,15.967,16.8,10,30,Recent/Crop_Hort,5,7.6,20,45,0.7,1.4,20,,,2,179.595,16.8,within,within,within,above,below,within,within,below,within
1085,1436,1436,Wellington,Wellington/1436,Crop_Hort,Gley,2010,6.02,2.593,0.239,44.879,183.747,,1.265,9.267,10.667,10,30,Gley/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,183.747,10.667,within,within,within,above,within,within,within,within,within
1086,1551,1436,Wellington,Wellington/1436,Crop_Hort,Gley,2014,6.85,2.052,0.208,32.974,162.363,133,1.24,17.1,18.367,10,30,Gley/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,147.6815,18.367,within,within,within,above,below,within,within,below,within
1087,1437,1437,Wellington,Wellington/1437,Crop_Hort,Brown,2010,6.24,2.898,0.277,39.823,35.39,,1.102,16.267,18.1,10,30,Brown/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,35.39,18.1,within,within,within,within,within,within,within,within,within
1088,1564,1437,Wellington,Wellington/1437,Crop_Hort,Brown,2014,6.38,2.91,0.3,46.524,40.688,31,1.147,15.833,16.867,10,30,Brown/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,35.844,16.867,within,within,within,within,within,within,within,within,within
1089,1438,1438,Wellington,Wellington/1438,Drystock,Pallic,2008,5.14,3.88,0.37,96,41,,1.289,7.267,9.7,10,30,Pallic/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,41,9.7,within,within,below,within,within,within,within,within,below
1090,1462,1438,Wellington,Wellington/1438,Drystock,Pallic,2015,5.81,4.89,0.46,118.706,43.649,30,1.15,4.167,6.933,10,30,Pallic/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,36.8245,6.933,within,within,below,within,within,within,within,within,below
1091,1439,1439,Wellington,Wellington/1439,Crop_Hort,Gley,2010,6.12,3.153,0.32,65.527,29.68,,1.244,4.3,6.233,10,30,Gley/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,29.68,6.233,within,within,below,within,within,within,within,within,below
1092,1548,1439,Wellington,Wellington/1439,Crop_Hort,Gley,2014,5.82,2.968,0.319,71.183,35.26,25,1.343,3.8,5.1,10,30,Gley/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,30.13,5.1,within,within,below,within,within,within,within,within,below
1093,1440,1440,Wellington,Wellington/1440,Drystock,Recent,2008,5.94,5.41,0.54,155,22,,1.034,12.667,14.633,10,30,Recent/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,22,14.633,within,within,within,within,within,within,within,within,within
