region,SoilOrder,pH,totalC,totalN,AMN,OlsenP_LR,bulkDensity,macroporosity-m05,macroporosity-m10,meets_pH,meets_bulkDensity,meets_macroporosity,meets_OlsenP,meets_totalC,meets_totalN,meets_AMN,meets_organicR,meets_physicalS,LandUse
Waikato,Allophanic,5.44,8.036,0.713,166.148,18.187,0.825,5.5,8.467,within,within,below,below,within,within,within,within,below,Crop_Hort
Waikato,Granular,6.4,3.557,0.313,34.036,73.706,1.035,14.2,17.133,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Granular,6.35,4.18,0.36,29,104,0.96,19.249,22.7,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Granular,5.74,3.401,0.299,24.909,98.516,1.109,11.7,13.4,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Granular,6.91,3.655,0.305,40.716,98.061,1.027,22,22.9,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Granular,6.36,5.29,0.43,55,102,0.88,19.673,23.2,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Granular,6.07,3.794,0.304,31.201,113.846,1.032,18.067,19.567,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,6.34,8.46,0.84,118,23,0.72,12.72,15,within,within,within,within,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,6.62,5.603,0.581,118.785,21.929,0.823,10.867,14.3,within,within,within,within,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,6.37,7.86,0.8,119,19,0.74,12.889,15.2,within,within,within,below,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,6.35,8.27,0.801,134.178,44.442,0.763,4.55,4.667,within,within,below,within,within,within,within,within,below,Crop_Hort
Waikato,Gley,5.75,5.95,0.55,55,18,0.77,15.094,17.8,within,within,within,below,within,within,within,within,within,Crop_Hort
Waikato,Organic,5.08,26.283,1.073,26.667,20,0.6,,,within,within,,within,within,within,within,within,,Crop_Hort
Waikato,Allophanic,6.48,5.15,0.46,35,32,0.75,19.588,23.1,within,within,within,within,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,5.59,13.925,1.158,120.977,7.087,0.516,24.267,28.833,within,within,within,within,within,above,within,above,within,Forestry
Waikato,Allophanic,5.28,13.602,1.044,132.178,18.351,0.521,17.867,21.767,within,within,within,within,within,above,within,above,within,Forestry
Waikato,Gley,6.78,2.46,0.24,35,82,0.99,11.872,14,within,within,within,above,below,within,within,below,within,Crop_Hort
Waikato,Pumice,5.11,5.96,0.304,78.429,12.267,0.592,34.467,41.5,within,below,above,within,within,within,within,within,mix,Forestry
Waikato,Pumice,5.39,6.801,0.355,89.089,17.783,0.87,18.633,24.033,within,within,within,within,within,within,within,within,within,Forestry
Waikato,Allophanic,5.3,4.337,0.35,77.284,38.258,0.969,17.033,21.6,within,within,within,above,within,within,within,within,within,Forestry
Waikato,Allophanic,4.98,7.071,0.488,100.14,36.051,0.835,25.933,30,within,within,within,above,within,within,within,within,within,Forestry
Waikato,Granular,6.84,6.421,0.557,150.579,115.128,0.943,6.7,7.967,within,within,below,above,within,within,within,within,below,Crop_Hort
Waikato,Granular,6.55,7.821,0.698,397.847,92.086,0.865,3.533,6.167,within,within,below,above,within,within,within,within,below,Crop_Hort
Waikato,Allophanic,6.68,11.877,1.092,186.666,56.674,0.69,3.1,4.667,within,within,below,above,within,within,within,within,below,Crop_Hort
Waikato,Allophanic,6.53,11.27,1.042,360.96,28.301,0.71,6.2,9.133,within,within,below,within,within,within,within,within,below,Crop_Hort
Waikato,Allophanic,5.83,4.65,0.498,68.022,53.037,0.915,6.367,10.1,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,5.56,4.563,0.496,52.439,34.409,0.79,20.5,24.4,within,within,within,within,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,6.67,6.59,0.66,102,46,0.78,15.263,18,within,within,within,within,within,within,within,within,within,Crop_Hort
Waikato,Granular,7.52,3.42,0.26,63,88,1.16,11.787,13.9,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,6.5,5.302,0.512,53.03,44.01,0.705,23.267,29.1,within,within,within,within,within,within,within,within,within,Crop_Hort
Waikato,Pumice,5.03,6.55,0.47,97,35.827,0.587,33.2,37.633,within,below,above,above,within,within,within,within,mix,Forestry
Waikato,Pumice,4.94,7.124,0.531,97.416,47.022,0.603,28.6,35.9,within,within,above,above,within,within,within,within,above,Forestry
Waikato,Pumice,5.24,9.99,0.44,132,3.969,0.567,22.4,30.433,within,below,above,below,within,within,within,within,mix,Forestry
Waikato,Pumice,5.28,4.86,0.24,113,9.57,0.638,33.267,39.767,within,within,above,within,within,within,within,within,above,Forestry
Waikato,Pumice,5.93,2.216,0.091,31.892,4.939,0.843,20.7,25.5,within,within,within,below,within,below,within,below,within,Forestry
Waikato,Allophanic,6.36,5.749,0.563,52.449,52.701,0.731,18.867,24.633,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Brown,6.99,5.579,0.492,29.089,60.189,0.812,20.533,25.567,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Brown,5.94,9.093,0.827,96.512,44,0.86,7.547,8.9,within,within,below,within,within,within,within,within,below,Crop_Hort
Waikato,Allophanic,6.94,7.319,0.696,171.452,69.337,0.756,11,13.167,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,6.92,7.598,0.73,144.116,66.705,0.76,6.067,10.433,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,7.02,6.827,0.639,150.499,77.173,0.81,6.9,10.77,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,6.74,8.086,0.828,190.188,63.16,0.768,8.667,11.2,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,6.93,7.872,0.825,147.892,65.838,0.78,7.6,10.13,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Brown,6.9,6.723,0.643,149.532,135.09,0.896,10.967,13.7,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,6.96,7.17,0.682,127.109,122.235,0.88,13.03,15.3,within,within,within,above,within,within,within,within,within,Crop_Hort
Waikato,Allophanic,6.59,9.693,0.926,207.728,37.109,0.695,6.4,8.867,within,within,below,within,within,within,within,within,below,Crop_Hort
