region,SoilOrder,pH,totalC,totalN,AMN,OlsenP_LR,bulkDensity,macroporosity-m05,macroporosity-m10,meets_pH,meets_bulkDensity,meets_macroporosity,meets_OlsenP,meets_totalC,meets_totalN,meets_AMN,meets_organicR,meets_physicalS,LandUse
Auckland,Recent,5.58,1.28,0.05,18,9,1.293,31.233,37.867,within,within,above,within,below,below,below,below,above,Forestry
Auckland,Recent,6.07,0.547,0.027,0.139,9.236,1.44,31.93,40.703,within,above,above,within,below,below,below,below,above,Forestry
Auckland,Recent,5.89,0.923,0.041,8.824,5.784,1.02,42.93,48.933,within,within,above,within,below,below,below,below,above,Forestry
Auckland,Recent,4.96,1.63,0.06,10,15,1.563,28.767,35.967,within,above,above,within,below,below,below,below,above,Forestry
Auckland,Allophanic,6.24,4.802,0.384,162.069,14,1.16,13.9,15.73,within,within,within,below,within,within,within,within,within,Crop_Hort
Auckland,Allophanic,5.76,5.767,0.461,78.448,72,1.16,0.3,1.167,within,within,below,above,within,within,within,within,below,Crop_Hort
Auckland,Ultic,5.08,5.7,0.22,34,21,1.105,6,6.45,within,within,below,within,within,within,within,within,below,Forestry
Auckland,Ultic,4.56,5.22,0.31,47,20,0.86,6.467,9.3,within,within,within,within,within,within,within,within,within,Forestry
Auckland,Ultic,5.69,5.15,0.25,81,5,1.155,4.8,6.85,within,within,below,within,within,within,within,within,below,Forestry
Auckland,Brown,6.37,4.14,0.36,83,32,0.907,28.067,36.867,within,within,above,above,within,within,within,within,above,Forestry
Auckland,Brown,5.89,3.92,0.28,68,10,1.003,20.967,28.633,within,within,within,within,within,within,within,within,within,Forestry
Auckland,Brown,5.51,3.26,0.22,91,5,1.03,7.9,10,within,within,within,within,within,within,within,within,within,Forestry
Auckland,Ultic,4.95,7.07,0.39,132,7,0.71,23.95,25.8,within,within,within,within,within,within,within,within,within,Forestry
Auckland,Recent,5.77,1.85,0.1,38,12,1.49,31.5,38.2,within,above,above,within,below,within,within,below,above,Forestry
Auckland,Ultic,5.06,7.02,0.27,69,7,1.065,12.95,14.4,within,within,within,within,within,within,within,within,within,Forestry
Auckland,Ultic,4.85,4.8,0.18,27,4,1.17,20.4,21.967,within,within,within,below,within,within,within,within,within,Forestry
Auckland,Ultic,4.96,3.5,0.17,57,5,1.283,5.633,7.267,within,within,below,within,within,within,within,within,below,Forestry
Auckland,Ultic,5.04,4.38,0.2,41,18,1.19,11.367,12.533,within,within,within,within,within,within,within,within,within,Forestry
Auckland,Ultic,6.24,3.387,0.239,69.708,15.923,1.173,6.867,9.4,within,within,below,below,within,within,within,within,below,Crop_Hort
Auckland,Granular,6.43,1.807,0.185,7.007,347.932,1.063,20.1,21.767,within,within,within,above,below,within,below,below,within,Crop_Hort
Auckland,Granular,6.13,2.474,0.216,9.317,147.596,1.163,14.967,16.367,within,within,within,above,below,within,below,below,within,Crop_Hort
Auckland,Granular,6.22,4.276,0.418,44.801,73.112,1,15.967,17.4,within,within,within,above,within,within,within,within,within,Crop_Hort
Auckland,Granular,7.07,1.977,0.156,7.211,187.25,0.977,26.967,28.567,within,within,within,above,below,within,below,below,within,Crop_Hort
Auckland,Ultic,6.62,4.213,0.342,78.304,11.16,1.04,11.733,13.767,within,within,within,below,within,within,within,within,within,Crop_Hort
Auckland,Gley,6.36,3.045,0.213,22.031,73.007,1.35,2.433,3.433,within,within,below,above,within,within,within,within,below,Crop_Hort
Auckland,Ultic,6.28,4.003,0.321,95.811,28.208,1.15,3.567,5.9,within,within,below,within,within,within,within,within,below,Crop_Hort
Auckland,Granular,6.89,2.36,0.211,17.976,360.628,1.063,21.667,22.867,within,within,within,above,below,within,below,below,within,Crop_Hort
Auckland,Gley,6.05,3.072,0.208,30.121,56.325,1.407,1,1.333,within,above,below,above,within,within,within,within,mix,Crop_Hort
Auckland,Gley,5.97,4.051,0.34,85.896,132.736,0.95,15.8,18.233,within,within,within,above,within,within,within,within,within,Crop_Hort
Bay of Plenty,Recent,6.7,5.2,0.48,225,,0.947,9.3,11.233,within,within,within,above,within,within,within,within,within,Crop_Hort
Bay of Plenty,Recent,6.52,10.671,0.626,115,96.393,0.976,8,9.867,within,within,below,above,within,within,within,within,below,Crop_Hort
Bay of Plenty,Pumice,6.6,6.2,0.56,127,,0.85,14.533,16.7,within,within,within,above,within,within,within,within,within,Crop_Hort
Bay of Plenty,Pumice,6.46,10.299,0.685,138,61.11,0.739,19.9,23.633,within,within,within,above,within,within,within,within,within,Crop_Hort
Bay of Plenty,Recent,5.9,2.4,0.2,57,,1.297,9.433,11.533,within,within,within,above,within,within,within,within,within,Crop_Hort
Bay of Plenty,Recent,6.15,5.548,0.437,32,89.783,1.152,11.4,14.2,within,within,within,above,within,within,within,within,within,Crop_Hort
Bay of Plenty,Pumice,6.4,6.2,0.58,126,,0.86,12.567,15.633,within,within,within,above,within,within,within,within,within,Crop_Hort
Bay of Plenty,Pumice,6.48,5.121,0.457,86,82.793,0.956,10.8,13.767,within,within,within,above,within,within,within,within,within,Crop_Hort
Bay of Plenty,Allophanic,6.3,7.5,0.75,167,,0.827,10.967,13.433,within,within,within,above,within,within,within,within,within,Crop_Hort
Bay of Plenty,Allophanic,6.26,7.051,0.633,204,26.027,0.73,16.4,18.567,within,within,within,within,within,within,within,within,within,Crop_Hort
Bay of Plenty,Recent,6.32,4.824,0.441,34,46.08,0.75,,,within,within,,above,within,within,within,within,,Crop_Hort
Bay of Plenty,Recent,5.8,2,0.22,62,,1.143,10.733,12.2,within,within,within,within,within,within,within,within,within,Crop_Hort
Bay of Plenty,Recent,6.6,11.528,0.616,98,88.267,0.86,12.7,14.7,within,within,within,above,within,within,within,within,within,Crop_Hort
Bay of Plenty,Recent,5.8,3.2,,76,,0.99,18.8,20.967,within,within,within,above,within,,within,,within,Crop_Hort
Bay of Plenty,Recent,6.01,10.285,0.742,44,57.541,0.797,28.7,31.133,within,within,above,above,within,within,within,within,above,Crop_Hort
Bay of Plenty,Recent,5.7,2.6,0.28,40,,1.06,6.4,8.2,within,within,below,within,within,within,within,within,below,Crop_Hort
Bay of Plenty,Gley,5.83,2.955,0.216,36,28.668,1.081,5.2,8.5,within,within,below,within,within,within,within,within,below,Crop_Hort
Bay of Plenty,Gley,7.9,6,0.31,84,,0.753,33.333,37.6,above,within,above,within,within,within,within,within,above,Crop_Hort
Bay of Plenty,Recent,5.3,4.3,0.31,73,,1.01,18.6,21.2,within,within,within,above,within,within,within,within,within,Crop_Hort
Canterbury,Brown,6.1,3.3,0.32,115,18,1.3,,6,within,within,below,below,within,within,within,within,below,Crop_Hort
Canterbury,Brown,5.4,3.8,0.31,59,23,0.9,,28,within,within,within,within,within,within,within,within,within,Crop_Hort
Canterbury,Brown,5.5,3.5,0.34,107,19,1.2,,11,within,within,within,below,within,within,within,within,within,Crop_Hort
Canterbury,Brown,6.4,2.3,0.24,54,20,1.5,,10,within,above,within,within,below,within,within,below,above,Crop_Hort
Canterbury,Brown,6,2.7,0.27,70,20,1.3,,18,within,within,within,within,within,within,within,within,within,Crop_Hort
Canterbury,Brown,5.1,4.1,0.17,40,7,0.9,,37,within,within,above,within,within,within,within,within,above,Forestry
Canterbury,Brown,4.9,3.4,0.2,48,9,1.1,,,within,within,,within,within,within,within,within,,Forestry
Canterbury,Brown,4.7,3.9,0.19,29,17,0.9,,,within,within,,within,within,within,within,within,,Forestry
Canterbury,Brown,5.6,6,0.24,47,27,0.8,,41,within,within,above,within,within,within,within,within,above,Forestry
Canterbury,Brown,5.5,5.4,0.2,25,18,0.8,,45,within,within,above,within,within,within,within,within,above,Forestry
Canterbury,Brown,4.5,2.6,0.19,54,3,1.1,,15,within,within,within,below,within,within,within,within,within,Forestry
Canterbury,Brown,5.5,2.5,0.18,57,22,1.2,,11,within,within,within,within,within,within,within,within,within,Forestry
Hawke's Bay,Brown,5.7,5.6,0.57,85,,1.017,14.04,16.683,within,within,within,above,within,within,within,within,within,Crop_Hort
Hawke's Bay,Organic,6.9,8.2,0.76,162,,0.773,5.823,8.4,within,within,below,above,within,within,within,within,below,Crop_Hort
Hawke's Bay,Organic,7.4,22,1.93,237,,0.572,13.92,16.28,within,within,within,above,within,within,within,within,within,Crop_Hort
Hawke's Bay,Gley,7.3,4.6,0.43,106,,1.262,6.087,7.941,within,within,below,within,within,within,within,within,below,Crop_Hort
Hawke's Bay,Gley,4.9,2.2,0.23,39,,1.221,14.446,16.124,below,within,within,within,below,within,within,below,within,Crop_Hort
Hawke's Bay,Pallic,5.8,4.9,0.44,110,,1.119,15.537,17.907,within,within,within,within,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,7.6,1.6,0.18,42,,1.263,18.083,21.321,within,within,within,above,below,within,within,below,within,Crop_Hort
Hawke's Bay,Recent,6.6,3,0.3,62,,1.19,9.802,11.272,within,within,within,above,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,6.6,3.8,0.39,111,,1.18,10.752,12.262,within,within,within,within,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,6,2.2,0.23,46,,1.33,11.851,13.699,within,within,within,within,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,6.3,2.8,0.3,77,,1.31,14.17,15.683,within,within,within,below,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,5.8,2.3,0.25,65,,1.42,11.288,14.355,within,above,within,above,within,within,within,within,above,Crop_Hort
Hawke's Bay,Recent,6.5,2.2,0.21,60,,1.31,15.663,18.859,within,within,within,below,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,6.7,3.2,0.32,60,,1.13,10.371,12.027,within,within,within,within,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,7,2.5,0.26,56,,1.25,10.933,12.728,within,within,within,within,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,6.7,2.3,0.25,68,,1.33,9.686,11.621,within,within,within,above,within,within,within,within,within,Crop_Hort
Hawke's Bay,Gley,6.3,1.6,0.2,23,,1.378,13.709,15.883,within,within,within,above,below,within,within,below,within,Crop_Hort
Hawke's Bay,Recent,6.8,4.5,0.42,122,,1.17,9.124,10.148,within,within,within,below,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,6.3,2,0.24,63,,1.27,13.252,15.067,within,within,within,above,within,within,within,within,within,Crop_Hort
Hawke's Bay,Gley,5.5,3.1,0.35,91,,1.115,18.81,21.665,within,within,within,within,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,6.3,3,0.3,83,,1.232,11.524,12.99,within,within,within,within,within,within,within,within,within,Crop_Hort
Hawke's Bay,Pumice,6.1,6.5,0.3,86,,0.497,38.203,44.296,within,below,above,below,within,within,within,within,mix,Forestry
Hawke's Bay,Organic,5.05,3.171,0.32,63,41,1.05,22,,within,above,,above,within,within,within,within,,Crop_Hort
Hawke's Bay,Recent,6.03,2.303,0.21,47,24,1.19,19.3,,within,within,,within,within,within,within,within,,Crop_Hort
Hawke's Bay,Recent,6.8,3.5,0.305,74,109,0.92,34.38,,within,within,,above,within,within,within,within,,Crop_Hort
Hawke's Bay,Recent,6.02,10.301,0.808,91,27,0.73,23.2,,within,within,,within,within,within,within,within,,Crop_Hort
Hawke's Bay,Pumice,5.8,7.3,0.51,84,,0.594,31.204,38.288,within,below,above,below,within,within,within,within,mix,Forestry
Hawke's Bay,Pumice,5.5,5.4,0.27,118,,0.89,20.925,24.585,within,within,within,below,within,within,within,within,within,Forestry
Hawke's Bay,Pumice,5.8,4.5,0.31,70,,0.857,30.355,34.272,within,within,above,within,within,within,within,within,above,Forestry
Hawke's Bay,Pallic,5.5,3.6,0.4,117,,0.91,19.749,22.21,within,within,within,within,within,within,within,within,within,Forestry
Hawke's Bay,Pumice,5.8,3.6,0.3,59,,1.023,21.817,26.914,within,within,within,within,within,within,within,within,within,Forestry
Hawke's Bay,Recent,6.8,4.1,0.4,117,,1.24,11.629,13.269,within,within,within,below,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,5.72,2.676,0.245,34,55,1.11,18.8,,within,within,,above,within,within,within,within,,Crop_Hort
Hawke's Bay,Recent,6.41,1.97,0.16,71,98,1.33,10.1,,within,within,,above,below,within,within,below,,Crop_Hort
Hawke's Bay,Pumice,5.6,4.8,0.38,110,,0.831,15.384,19.74,within,within,within,below,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,6.7,4.5,0.44,125,,1.15,7.481,8.344,within,within,below,above,within,within,within,within,below,Crop_Hort
Hawke's Bay,Brown,7.6,3.4,0.31,50,,1.14,16.843,20.276,within,within,within,above,within,within,within,within,within,Crop_Hort
Hawke's Bay,Brown,5.9,7.1,0.71,127,,0.81,25.022,30.266,within,within,above,below,within,within,within,within,above,Crop_Hort
Hawke's Bay,Brown,6.7,5.4,0.5,76,,0.88,21.29,25.407,within,within,within,below,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,6.5,2.7,0.29,97,,1.38,12.888,14.314,within,within,within,within,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,5.9,1.7,0.21,51,,1.25,14.725,16.231,within,within,within,within,below,within,within,below,within,Crop_Hort
Hawke's Bay,Pallic,6.4,3,0.27,58,,1.302,14.883,18.657,within,within,within,within,within,within,within,within,within,Forestry
Hawke's Bay,Brown,6.5,3.8,0.38,64,,1.07,19.895,25.259,within,within,within,above,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,6.3,4.4,0.4,144,,1.14,18.083,19.089,within,within,within,within,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,6.7,5.2,0.49,141,,1.03,10.597,11.369,within,within,within,within,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,6.7,4.4,0.44,96,,1.08,7.901,8.462,within,within,below,within,within,within,within,within,below,Crop_Hort
Hawke's Bay,Recent,6.8,3.9,0.4,115,,1.01,20.05,21.956,within,within,within,below,within,within,within,within,within,Crop_Hort
Hawke's Bay,Recent,7,3.4,0.34,72,,1.21,6.936,8.04,within,within,below,within,within,within,within,within,below,Crop_Hort
Hawke's Bay,Recent,6.6,4.7,0.43,131,,1.11,6.827,7.875,within,within,below,within,within,within,within,within,below,Crop_Hort
Hawke's Bay,Recent,6.7,4.1,0.4,96,,1.09,7.095,7.957,within,within,below,above,within,within,within,within,below,Crop_Hort
Hawke's Bay,Recent,5.9,3.6,0.36,111,,1.41,6.819,7.623,within,above,below,above,within,within,within,within,mix,Crop_Hort
Hawke's Bay,Brown,5.8,7.6,0.55,63,,0.851,25.657,29.588,within,within,within,within,within,within,within,within,within,Forestry
Hawke's Bay,Recent,6.6,4.5,0.45,168,,1,16.207,16.867,within,within,within,within,within,within,within,within,within,Crop_Hort
Hawke's Bay,Brown,6,8.9,0.44,145,,0.701,29.237,33.505,within,within,above,below,within,within,within,within,above,Forestry
Hawke's Bay,Recent,7,2.5,0.26,53,,1.09,23.05,26.289,within,within,within,within,within,within,within,within,within,Crop_Hort
Hawke's Bay,Pallic,5.4,3.5,0.37,107,,1.146,15.323,17.173,within,within,within,above,within,within,within,within,within,Forestry
Hawke's Bay,Pallic,5.4,4,0.42,122,,0.903,28.271,31.971,within,within,above,above,within,within,within,within,above,Forestry
Hawke's Bay,Pallic,5.4,3.7,0.33,93,,1.183,12.384,15.638,within,within,within,within,within,within,within,within,within,Forestry
Hawke's Bay,Recent,6.8,2.7,0.31,74,,,,,within,,,within,within,within,within,within,,Crop_Hort
Hawke's Bay,Recent,6.6,2,0.21,47,,,,,within,,,below,within,within,within,within,,Crop_Hort
Hawke's Bay,Recent,6.4,3.6,0.35,134,,1.22,17.971,20.531,within,within,within,within,within,within,within,within,within,Crop_Hort
Manawatu-Wanganui,Recent,6.42,2.957,0.307,67,38.02,1.227,10.767,11.967,within,within,within,within,within,within,within,within,within,Crop_Hort
Manawatu-Wanganui,Recent,6.68,3.112,0.308,72,27.74,1.338,3.467,5.333,within,within,below,within,within,within,within,within,below,Crop_Hort
Manawatu-Wanganui,Brown,7.75,3.793,0.343,21,256.863,1.078,17.333,19.267,above,within,within,above,within,within,within,within,within,Crop_Hort
Manawatu-Wanganui,Brown,6.15,9.538,0.81,137.824,62.457,0.762,21.15,23.9,within,within,within,above,within,above,within,above,within,Forestry
Manawatu-Wanganui,Recent,5.96,4.597,0.48,97.622,30.246,1.074,5.767,9.2,within,within,below,within,within,within,within,within,below,Crop_Hort
Manawatu-Wanganui,Recent,6.26,3.814,0.389,120.982,18.481,1.363,0.5,0.5,within,within,below,below,within,within,within,within,below,Crop_Hort
Manawatu-Wanganui,Gley,5.61,3.848,0.338,110.014,39.833,1.113,3.8,6.167,within,within,below,within,within,within,within,within,below,Crop_Hort
Manawatu-Wanganui,Gley,5.59,4.482,0.453,186.566,49.73,1.092,7.433,9.5,within,within,below,above,within,within,within,within,below,Crop_Hort
Manawatu-Wanganui,Gley,5.15,8.948,0.753,190,107.858,0,0,0,within,below,below,above,within,above,within,above,below,Forestry
Manawatu-Wanganui,Recent,6.56,4.394,0.467,150.293,77.034,1.126,2.267,3.933,within,within,below,above,within,within,within,within,below,Crop_Hort
Manawatu-Wanganui,Brown,6.24,3.289,0.312,26,87.57,1.013,19.4,22.033,within,within,within,above,within,within,within,within,within,Crop_Hort
Manawatu-Wanganui,Gley,5.92,3.57,0.366,93.431,24.469,1.26,1.733,2.633,within,within,below,within,within,within,within,within,below,Crop_Hort
Manawatu-Wanganui,Gley,5.49,6.259,0.54,121.517,90.849,0.71,20.467,22.867,within,within,within,above,within,within,within,within,within,Forestry
Manawatu-Wanganui,Brown,6.53,2.557,0.255,36,205.599,1.085,23.7,25.967,within,within,within,above,within,within,within,within,within,Crop_Hort
Marlborough,Recent,6.7,2.1,0.22,72,,1.34,6.8,8.5,within,within,below,below,within,within,within,within,below,Crop_Hort
Marlborough,Recent,6.5,2,0.21,49,,1.45,9.6,11.8,within,above,within,below,within,within,within,within,above,Crop_Hort
Marlborough,Recent,6.7,3.8,0.39,106,,1.51,2.9,5.4,within,above,below,within,within,within,within,within,mix,Crop_Hort
Marlborough,Recent,6.6,3.9,0.4,122,,1.37,,2.2,within,within,below,within,within,within,within,within,below,Crop_Hort
Marlborough,Brown,5.8,2.6,0.28,56,,1.36,6.9,10.2,within,within,within,below,within,within,within,within,within,Crop_Hort
Marlborough,Brown,5.9,2.8,0.31,84,,1.39,6.1,7.6,within,within,below,within,within,within,within,within,below,Crop_Hort
Marlborough,Pallic,5.9,2.8,0.29,51,,1.34,9.6,13.1,within,within,within,below,within,within,within,within,within,Crop_Hort
Marlborough,Pallic,6,3.1,0.32,88,,1.31,7.4,8.9,within,within,below,within,within,within,within,within,below,Crop_Hort
Marlborough,Brown,6.9,3.2,0.31,155,,1.32,3.7,3.8,within,within,below,within,within,within,within,within,below,Crop_Hort
Marlborough,Brown,7,4,0.36,122,,1.2,1.5,2.9,within,within,below,within,within,within,within,within,below,Crop_Hort
Marlborough,Pallic,6,3.5,0.3,75,,1.28,9.3,11.6,within,within,within,within,within,within,within,within,within,Crop_Hort
Marlborough,Pallic,6.3,3.4,0.35,63,,1.25,11.9,14.2,within,within,within,below,within,within,within,within,within,Crop_Hort
Marlborough,Pallic,6.1,3.6,0.35,88,,1.14,11.5,14.3,within,within,within,below,within,within,within,within,within,Crop_Hort
Marlborough,Pallic,6.2,4.1,0.39,101,,1.05,15.4,18.5,within,within,within,below,within,within,within,within,within,Crop_Hort
Marlborough,Brown,6.7,2.7,0.28,118,,1.27,9.1,10.8,within,within,within,within,within,within,within,within,within,Crop_Hort
Marlborough,Brown,7.2,2.7,0.23,53,,1.28,8.9,10.4,within,within,within,within,within,within,within,within,within,Crop_Hort
Marlborough,Brown,6.8,4,0.38,153,,1.13,6.9,8.9,within,within,below,below,within,within,within,within,below,Crop_Hort
Marlborough,Pallic,6.6,4,0.41,145,,1.09,7.9,10.3,within,within,within,within,within,within,within,within,within,Crop_Hort
Marlborough,Pallic,6.8,4.4,0.41,105,,1.06,9.7,11.5,within,within,within,within,within,within,within,within,within,Crop_Hort
Marlborough,Pallic,6.7,2.8,0.3,60,,1.32,8.4,10,within,within,within,within,within,within,within,within,within,Crop_Hort
Marlborough,Pallic,6.2,2.7,0.26,86,,1.29,6.4,8.3,within,within,below,within,within,within,within,within,below,Crop_Hort
Marlborough,Pallic,6.9,3.5,0.39,84,,1.4,1.6,3.3,within,within,below,above,within,within,within,within,below,Crop_Hort
Marlborough,Pallic,6.4,4,0.41,124,,1.35,4.7,5,within,within,below,within,within,within,within,within,below,Crop_Hort
Marlborough,Brown,4.9,7.1,0.45,104,,0.8,31.5,36.5,within,within,above,within,within,within,within,within,above,Forestry
Marlborough,Brown,4.9,7.4,0.53,88,,0.79,24.7,29.4,within,within,within,within,within,within,within,within,within,Forestry
Marlborough,Pallic,6,2.3,0.23,74,,1.4,4.2,5.7,within,within,below,below,within,within,within,within,below,Crop_Hort
Marlborough,Pallic,5.6,2.5,0.28,116,,1.33,4.4,5.6,within,within,below,within,within,within,within,within,below,Crop_Hort
Marlborough,Pallic,6.5,2.6,0.22,121,,1.3,5.1,6.7,within,within,below,below,within,within,within,within,below,Crop_Hort
Marlborough,Pallic,7,2.9,0.29,113,,1.35,1.6,3.3,within,within,below,below,within,within,within,within,below,Crop_Hort
Marlborough,Pallic,6.5,2.5,0.26,107,,1.4,3,4.2,within,within,below,below,within,within,within,within,below,Crop_Hort
Marlborough,Pallic,6.7,3,0.26,96,,1.4,5.8,7.6,within,within,below,within,within,within,within,within,below,Crop_Hort
Marlborough,Pallic,6.7,5.1,0.44,128,,1,8.7,11.4,within,within,within,within,within,within,within,within,within,Crop_Hort
Marlborough,Pallic,6.4,5.1,0.54,132,,1.1,9.8,13.3,within,within,within,within,within,within,within,within,within,Crop_Hort
Marlborough,Pallic,6.5,4.1,0.35,92,,1.2,16.3,19,within,within,within,within,within,within,within,within,within,Crop_Hort
Marlborough,Pallic,6.9,4.8,0.5,163,,1.07,12.5,16.8,within,within,within,within,within,within,within,within,within,Crop_Hort
Marlborough,Pallic,5.8,2.6,0.26,49,,1.49,4.2,5.9,within,above,below,within,within,within,within,within,mix,Crop_Hort
Marlborough,Pallic,6.4,2.7,0.29,51,,1.42,3.5,5,within,above,below,within,within,within,within,within,mix,Crop_Hort
Marlborough,Recent,6.2,1.9,0.2,49,,1.46,9,12,within,above,within,within,below,within,within,below,above,Crop_Hort
Marlborough,Recent,6,1.4,0.15,33,,1.42,8.8,13.2,within,above,within,within,below,within,within,below,above,Crop_Hort
Marlborough,Pallic,5.4,4,0.34,107,,1.04,19.9,26.1,within,within,within,within,within,within,within,within,within,Forestry
Marlborough,Pallic,5.5,3.6,0.27,83,,0.96,23.6,27.8,within,within,within,within,within,within,within,within,within,Forestry
Marlborough,Pallic,6,1.9,0.21,44,,1.47,7.9,10.1,within,above,within,within,below,within,within,below,above,Crop_Hort
Marlborough,Pallic,6.7,3.4,0.36,73,,1.55,1,1,within,above,below,above,within,within,within,within,mix,Crop_Hort
Marlborough,Pallic,6.5,2.4,0.28,57,,1.6,1.3,2.1,within,above,below,within,within,within,within,within,mix,Crop_Hort
Marlborough,Pallic,6.2,1.9,0.22,39,,1.48,5,8.7,within,above,below,within,below,within,within,below,mix,Crop_Hort
Marlborough,Brown,5.2,4.2,0.3,84,,1.1,19.1,20.8,within,within,within,within,within,within,within,within,within,Forestry
Marlborough,Brown,5.1,3.2,0.24,69,,1.1,13.5,15.6,within,within,within,below,within,within,within,within,within,Forestry
Marlborough,Pallic,6,2.6,0.25,56,,1.38,17.1,19.2,within,within,within,within,within,within,within,within,within,Forestry
Marlborough,Pallic,5.9,2.6,0.16,65,,1.2,27,28.6,within,within,within,within,within,within,within,within,within,Forestry
Northland,Brown,5.07,57.6,3.4,47,16,0.94,22.9,23.8,within,within,within,within,within,above,within,above,within,Forestry
Northland,Brown,4.99,49.2,2.53,60,13,0.73,34.5,35.733,within,within,above,within,within,above,within,above,above,Forestry
Northland,Brown,5.1,8.637,0.41,75.297,16.509,0.74,33.7,34.933,within,within,above,within,within,within,within,within,above,Forestry
Northland,Brown,5.3,6.2,3.4,94,27,0.9,20,,within,within,,within,within,above,within,above,,Forestry
Northland,Allophanic,7.2,50.4,3.8,41,40,1.22,5.2,8.233,within,within,below,within,within,within,within,within,below,Crop_Hort
Northland,Allophanic,7.25,39.9,2.48,29,18,0.86,30.7,36.033,within,within,above,below,within,within,within,within,above,Crop_Hort
Northland,Allophanic,6.47,5.892,0.474,112.861,15.65,0.983,12.667,17.267,within,within,within,below,within,within,within,within,within,Crop_Hort
Northland,Allophanic,7.1,5.09,3.8,83,31,1.1,3.1,,within,within,,within,within,within,within,within,,Crop_Hort
Northland,Allophanic,6.36,40.6,2.2,55,6,0.8,30.5,38.033,within,within,above,within,within,above,within,above,above,Forestry
Northland,Allophanic,6.28,40.5,2.07,54,9,0.91,26.7,30.1,within,within,above,within,within,above,within,above,above,Forestry
Northland,Allophanic,6.17,5.395,0.285,58.143,8.404,0.863,29.367,35.033,within,within,above,within,within,within,within,within,above,Forestry
Northland,Allophanic,6.1,4.9,2.3,52,7,1,25,,within,within,,within,within,above,within,above,,Forestry
Northland,Ultic,4.46,63.2,4,50,8,1,23.8,24.733,within,within,within,within,within,above,within,above,within,Forestry
Northland,Ultic,4.93,54.2,4.07,118,22,0.91,26.8,27.267,within,within,within,within,within,above,within,above,within,Forestry
Northland,Ultic,4.47,5.941,0.388,50.753,12.217,0.993,25.867,27.667,within,within,within,within,within,within,within,within,within,Forestry
Northland,Ultic,5,5.2,3.6,57,31,1,15.5,,within,within,,above,within,above,within,above,,Forestry
Northland,Brown,4.97,54.5,3,66,24,0.96,22,23.7,within,within,within,within,within,above,within,above,within,Forestry
Northland,Brown,4.95,71.8,3.82,146,13,0.92,25.4,26.733,within,within,within,within,within,above,within,above,within,Forestry
Northland,Brown,5.14,4.11,0.254,82.578,5.512,1.103,17.067,18.4,within,within,within,within,within,within,within,within,within,Forestry
Northland,Brown,4.9,5.5,2.8,83,10,1,15.7,,within,within,,within,within,above,within,above,,Forestry
Northland,Granular,4.98,80,3.4,90,18,0.84,14.3,15.433,within,within,within,within,within,above,within,above,within,Forestry
Northland,Granular,5.31,78.6,3.75,123,6,0.86,8.8,10.167,within,within,within,within,within,above,within,above,within,Forestry
Northland,Granular,5.12,8.058,0.382,139.096,4.664,0.82,16.9,18.233,within,within,within,below,within,within,within,within,within,Forestry
Northland,Granular,4.9,11.5,4.7,167,13,0.8,13.8,,within,within,,within,within,above,within,above,,Forestry
Northland,Allophanic,6.07,61.4,5.2,137,74,1,10.4,12.167,within,within,within,above,within,within,within,within,within,Crop_Hort
Northland,Allophanic,6.17,59.5,5.34,148,77,0.95,14.1,17.1,within,within,within,above,within,within,within,within,within,Crop_Hort
Northland,Allophanic,6.35,6.846,0.635,162.171,71.338,0.803,9.667,12.667,within,within,within,above,within,within,within,within,within,Crop_Hort
Northland,Allophanic,5.7,6.28,5.7,135,77,0.85,19.2,,within,within,,above,within,within,within,within,,Crop_Hort
Southland,Pallic,5.7,4,0.4,205,,1.148,,7.186,within,within,below,within,within,within,within,within,below,Crop_Hort
Southland,Brown,4.8,6.5,0.24,126,1,0.775,,11.906,within,within,within,below,within,within,within,within,within,Forestry
Tasman,Recent,6.46,4.54,0.418,161.515,37.052,1.061,4.533,6.567,within,within,below,within,within,within,within,within,below,Crop_Hort
Tasman,Recent,6.1,2.7,0.25,107,15.08,1.16,1,0.5,within,within,below,below,within,within,within,within,below,Crop_Hort
Tasman,Recent,6.8,1.3,0.13,17,226.3,1.46,11.867,13.4,within,above,within,above,below,within,below,below,above,Crop_Hort
Tasman,Ultic,6.3,4.7,0.39,120,41.42,1.09,5.767,9.9,within,within,below,within,within,within,within,within,below,Crop_Hort
